age,gender,height,weight,bmi,activity_level,goal,exercise_frequency,target_calories
19,male,175.7,66.3,21.48,sedentary,lose,0,1548
31,male,174.9,77.9,25.47,moderate,gain,5,3242
32,female,157.6,65.8,26.49,active,gain,4,2760
31,male,169.1,87.4,30.56,sedentary,lose,1,1714
20,female,161.9,49.5,18.88,very_active,lose,7,2149
54,female,172.5,64.5,21.68,moderate,gain,3,2470
24,male,169.6,85.8,29.83,active,lose,5,2842
56,male,182.1,65.4,19.72,sedentary,maintain,1,1823
61,male,169.8,95.9,33.26,sedentary,build_muscle,1,2339
31,female,164.5,56.8,20.99,active,maintain,5,2354
33,male,175.7,59.8,19.37,moderate,maintain,5,2536
50,male,179.3,54.2,16.86,active,lose,4,2138
56,female,169.3,67.2,23.45,very_active,maintain,7,2698
61,male,175.1,92.2,30.07,moderate,lose,4,2312
28,female,146.4,70.8,33.03,active,lose,6,2044
58,male,166.5,70.4,25.39,moderate,lose,3,1965
56,male,175.3,78.3,25.48,active,build_muscle,5,3193
23,male,181.9,73.3,22.15,very_active,maintain,5,3455
60,male,166.0,78.5,28.49,light,build_muscle,2,2499
63,male,171.9,60.0,20.3,moderate,maintain,5,2396
25,female,163.0,67.0,25.22,sedentary,maintain,0,1738
32,male,176.6,79.0,25.33,light,maintain,2,2464
31,female,152.1,58.7,25.37,active,maintain,4,2261
24,male,161.8,87.3,33.35,light,maintain,3,2559
61,male,169.4,60.6,21.12,sedentary,gain,0,1988
26,female,167.5,55.2,19.67,sedentary,build_muscle,1,1868
21,male,170.2,62.8,21.68,sedentary,lose,0,1480
43,male,184.0,82.4,24.34,sedentary,lose,1,1690
45,female,159.3,46.2,18.21,moderate,gain,4,2168
55,male,181.5,75.6,22.95,light,lose,2,1836
21,male,179.2,74.7,23.26,sedentary,maintain,0,2052
55,male,186.8,61.0,17.48,light,maintain,3,2151
34,female,166.1,79.7,28.89,sedentary,lose,1,1312
18,male,180.9,42.0,12.83,very_active,lose,5,2542
26,female,176.2,53.8,17.33,active,lose,4,1975
57,female,166.3,82.9,29.98,light,gain,3,2404
60,female,174.4,76.7,25.22,light,build_muscle,3,2248
63,male,173.9,65.1,21.53,active,maintain,5,2683
23,male,166.0,57.7,20.94,sedentary,lose,0,1338
53,female,158.9,59.1,23.41,sedentary,build_muscle,0,1597
41,male,172.1,72.4,24.44,sedentary,lose,0,1489
60,male,172.7,94.1,31.55,active,maintain,6,3223
33,male,190.4,49.3,13.6,active,build_muscle,4,3051
60,female,177.4,76.2,24.21,light,gain,1,2275
20,female,166.1,56.9,20.62,active,maintain,5,2527
19,male,161.4,69.0,26.49,light,lose,2,1802
59,female,152.5,62.0,26.66,active,lose,4,1687
55,male,190.1,85.9,23.77,sedentary,maintain,1,2161
56,female,166.5,62.5,22.55,active,lose,4,1802
41,male,175.6,47.2,15.31,active,maintain,6,2608
64,male,183.7,66.9,19.82,moderate,lose,5,2048
60,female,166.5,78.4,28.28,active,maintain,5,2508
53,female,166.0,54.9,19.92,sedentary,gain,1,1741
50,male,177.9,48.4,15.29,moderate,lose,3,1761
50,female,158.0,49.9,19.99,sedentary,build_muscle,0,1529
27,male,171.0,85.6,29.27,light,build_muscle,1,2757
44,female,169.9,53.6,18.57,moderate,lose,4,1578
66,male,187.7,93.3,26.48,moderate,lose,5,2430
21,female,148.4,54.3,24.66,sedentary,lose,1,1200
66,female,144.9,74.8,35.63,moderate,maintain,5,1947
28,female,162.7,50.5,19.08,light,lose,3,1323
58,female,175.0,63.8,20.83,moderate,lose,4,1713
52,female,166.5,66.1,23.84,light,lose,1,1379
44,female,165.8,82.2,29.9,light,gain,3,2511
66,male,167.9,69.2,24.55,active,lose,5,2221
52,female,149.2,62.8,28.21,moderate,lose,3,1377
45,female,156.1,64.0,26.26,moderate,gain,5,2451
57,male,183.7,48.3,14.31,moderate,gain,3,2533
26,female,166.0,57.8,20.98,light,lose,2,1414
35,female,173.5,63.3,21.03,light,lose,1,1418
40,male,176.5,80.8,25.94,very_active,lose,5,3008
57,male,174.3,79.9,26.3,moderate,maintain,3,2613
62,female,162.7,73.5,27.77,moderate,build_muscle,5,2459
24,female,171.5,42.0,14.28,moderate,build_muscle,4,2229
63,female,166.0,77.0,27.94,active,lose,6,2066
68,male,160.6,98.6,38.23,light,maintain,2,2339
50,male,175.2,74.3,24.21,light,maintain,2,2309
63,female,160.6,66.9,25.94,light,gain,3,2118
47,female,152.6,70.0,30.06,light,build_muscle,1,2007
54,female,170.5,54.7,18.82,sedentary,build_muscle,0,1646
31,female,159.7,69.7,27.33,light,maintain,2,1927
23,male,172.7,76.7,25.72,moderate,lose,4,2417
46,female,163.8,58.3,21.73,sedentary,gain,1,1827
45,female,157.2,76.9,31.12,light,maintain,2,1947
32,female,166.3,67.9,24.55,sedentary,maintain,0,1697
64,female,173.7,47.3,15.68,moderate,build_muscle,3,1994
32,female,159.2,70.2,27.7,moderate,lose,3,1832
58,male,174.4,86.2,28.34,active,maintain,5,3021
46,female,153.2,87.0,37.07,light,build_muscle,1,2276
54,male,168.7,73.0,25.65,sedentary,maintain,1,1850
33,male,186.0,91.0,26.3,moderate,gain,3,3425
37,female,156.2,84.3,34.55,light,maintain,3,2049
66,male,177.4,84.6,26.88,moderate,lose,3,2162
46,female,161.7,58.4,22.34,sedentary,lose,1,1200
22,female,156.9,42.0,17.06,moderate,maintain,5,1934
52,male,171.0,77.2,26.4,light,lose,1,1785
68,male,171.3,96.2,32.78,moderate,lose,3,2257
35,female,164.2,50.2,18.62,sedentary,lose,1,1200
56,female,163.0,67.8,25.52,very_active,build_muscle,7,2875
54,female,162.3,80.9,30.71,light,gain,2,2349
55,male,162.5,85.4,32.34,very_active,maintain,6,3223
39,male,186.3,63.1,18.18,moderate,maintain,5,2685
47,male,181.2,81.2,24.73,sedentary,gain,0,2383
21,female,155.7,67.0,27.64,moderate,maintain,3,2270
35,male,158.5,66.9,26.63,light,gain,1,2482
63,male,178.0,85.0,26.83,moderate,lose,3,2254
25,female,160.6,57.9,22.45,active,lose,6,1987
33,female,176.1,57.1,18.41,sedentary,maintain,0,1620
35,male,178.2,50.7,15.97,light,gain,2,2427
55,female,157.8,48.8,19.6,active,maintain,5,1941
39,female,154.7,58.6,24.49,light,lose,1,1256
32,female,162.4,70.0,26.54,light,maintain,2,1958
60,female,165.7,47.6,17.34,sedentary,build_muscle,0,1464
46,male,175.8,99.1,32.07,sedentary,lose,0,1833
48,male,177.2,66.0,21.02,moderate,lose,3,2071
38,female,152.0,46.9,20.3,light,maintain,3,1521
33,male,163.8,54.5,20.31,very_active,gain,6,3295
46,male,174.2,81.5,26.86,sedentary,lose,0,1590
40,female,160.2,67.4,26.26,light,maintain,1,1849
57,female,165.5,57.7,21.07,moderate,lose,5,1494
47,female,163.0,64.5,24.28,active,build_muscle,6,2634
55,female,162.2,54.4,20.68,moderate,maintain,4,1964
42,male,178.3,71.1,22.36,light,lose,2,1877
35,female,162.7,85.0,32.11,moderate,build_muscle,5,2801
36,female,163.8,55.1,20.54,active,lose,4,1780
58,male,167.7,91.0,32.36,sedentary,gain,0,2386
64,female,173.4,80.7,26.84,light,maintain,1,2003
51,female,169.4,54.2,18.89,sedentary,build_muscle,1,1706
65,female,171.7,48.6,16.49,light,lose,1,1200
53,female,154.3,50.1,21.04,sedentary,maintain,1,1328
61,female,163.0,54.4,20.47,light,maintain,2,1598
57,male,179.7,88.5,27.41,active,lose,4,2641
62,female,160.7,73.7,28.54,sedentary,build_muscle,1,1827
52,male,175.9,85.4,27.6,moderate,gain,5,3186
55,female,162.8,56.6,21.36,light,lose,2,1200
20,female,152.0,60.2,26.06,light,lose,2,1372
61,male,164.4,96.7,35.78,moderate,lose,4,2323
23,female,166.3,54.8,19.82,moderate,lose,4,1680
26,male,177.2,67.4,21.47,active,maintain,6,3082
67,female,176.8,77.2,24.7,sedentary,build_muscle,0,1967
52,male,176.0,84.1,27.15,moderate,lose,3,2230
19,female,172.6,64.7,21.72,moderate,maintain,5,2463
48,male,168.8,79.9,28.04,moderate,maintain,3,2624
47,female,162.3,61.3,23.27,very_active,build_muscle,6,2793
49,male,174.0,62.3,20.58,active,lose,4,2252
42,female,165.3,76.5,28.0,light,maintain,1,1996
59,male,168.0,57.9,20.51,moderate,lose,4,1793
43,female,158.3,58.8,23.46,light,gain,2,2080
61,male,178.6,73.7,23.1,active,lose,4,2368
53,male,168.3,106.3,37.53,moderate,gain,4,3397
60,female,169.8,58.8,20.39,active,lose,5,1748
27,male,171.6,70.9,24.08,sedentary,build_muscle,1,2246
66,male,175.0,85.2,27.82,light,maintain,3,2296
56,male,168.5,98.1,34.55,light,lose,3,2045
39,female,160.4,68.6,26.66,sedentary,gain,0,1980
23,male,184.8,75.8,22.2,light,lose,2,2075
64,female,155.5,86.4,35.73,moderate,build_muscle,3,2482
35,male,185.3,63.2,18.41,moderate,maintain,3,2629
40,male,170.1,80.5,27.82,moderate,maintain,5,2759
18,male,181.3,84.9,25.83,moderate,gain,4,3511
25,female,174.6,63.9,20.96,sedentary,lose,0,1217
22,female,163.0,48.5,18.25,light,maintain,1,1765
54,female,156.6,67.8,27.65,moderate,lose,4,1621
62,female,163.8,67.1,25.01,active,lose,6,1864
51,female,175.5,73.5,23.86,moderate,lose,3,1894
67,male,181.2,63.7,19.4,active,build_muscle,4,2919
27,male,175.8,84.0,27.18,sedentary,gain,0,2547
47,female,173.8,63.5,21.02,light,build_muscle,3,2118
58,female,160.0,73.8,28.83,light,maintain,2,1812
37,male,172.0,72.5,24.51,light,lose,3,1885
57,male,169.5,68.9,23.98,moderate,build_muscle,5,2731
38,male,170.7,63.9,21.93,very_active,maintain,6,3074
50,male,174.6,73.1,23.98,moderate,build_muscle,5,2849
36,female,162.4,48.6,18.43,moderate,lose,5,1562
22,female,158.7,75.3,29.9,light,lose,3,1728
39,male,173.6,92.7,30.76,active,lose,6,2928
26,female,149.3,48.4,21.71,light,lose,2,1200
59,male,165.0,68.6,25.2,sedentary,lose,0,1226
67,female,158.0,63.7,25.52,sedentary,lose,0,1200
60,male,175.5,64.5,20.94,sedentary,lose,0,1337
62,male,177.9,52.6,16.62,sedentary,maintain,1,1598
57,female,171.4,59.0,20.08,light,maintain,2,1798
30,female,151.5,82.7,36.03,very_active,maintain,6,2997
28,female,154.9,71.1,29.63,sedentary,lose,1,1200
53,female,173.1,56.0,18.69,light,lose,1,1259
45,male,169.6,99.9,34.73,active,build_muscle,4,3604
21,female,157.6,69.4,27.94,light,lose,1,1608
68,female,165.9,64.9,23.58,active,maintain,4,2192
46,female,151.6,47.1,20.49,sedentary,lose,0,1200
25,female,159.6,64.3,25.24,sedentary,lose,1,1200
25,male,180.9,62.9,19.22,light,maintain,3,2360
18,female,166.9,56.9,20.43,light,gain,1,2239
22,female,171.4,59.0,20.08,moderate,maintain,3,2229
41,female,168.0,63.0,22.32,moderate,lose,5,1768
67,male,164.3,65.2,24.15,sedentary,lose,1,1212
62,female,159.0,56.1,22.19,sedentary,gain,1,1688
36,male,180.2,98.0,30.18,active,lose,5,2952
34,female,161.0,78.5,30.28,light,build_muscle,1,2304
35,female,167.8,70.4,25.0,active,gain,5,2957
41,female,166.8,74.8,26.88,active,gain,4,2928
56,female,167.4,62.8,22.41,light,lose,2,1300
28,female,157.9,59.2,23.74,sedentary,build_muscle,1,1788
35,female,155.1,48.0,19.95,sedentary,gain,1,1680
19,male,186.9,87.1,24.93,moderate,lose,3,2714
67,male,171.4,66.3,22.57,active,lose,4,2076
46,female,147.6,64.2,29.47,light,lose,3,1223
33,female,164.6,62.4,23.03,sedentary,maintain,0,1590
31,female,168.4,72.0,25.39,active,maintain,4,2652
22,male,159.7,84.3,33.05,light,lose,3,2143
63,female,158.8,75.6,29.98,active,build_muscle,6,2672
68,male,172.3,83.1,27.99,very_active,gain,5,3515
47,female,161.4,67.6,25.95,moderate,lose,4,1646
63,female,161.3,49.8,19.14,moderate,build_muscle,3,1973
46,male,181.0,60.7,18.53,sedentary,build_muscle,0,2075
45,male,159.9,75.5,29.53,active,maintain,5,2838
40,male,182.1,90.9,27.41,light,lose,1,2118
26,female,156.2,52.3,21.44,sedentary,maintain,0,1473
54,female,171.6,84.2,28.59,sedentary,build_muscle,1,2083
67,male,166.0,68.1,24.71,sedentary,build_muscle,1,1933
61,male,170.7,64.1,22.0,moderate,lose,4,1894
47,female,165.7,77.4,28.19,light,gain,3,2431
26,female,162.5,63.9,24.2,sedentary,lose,0,1200
46,female,163.0,68.0,25.59,light,lose,3,1375
38,male,186.1,95.0,27.43,sedentary,lose,1,1876
37,female,160.0,63.1,24.65,light,maintain,1,1809
36,male,183.3,49.1,14.61,moderate,maintain,5,2443
24,male,161.0,87.3,33.68,moderate,gain,4,3235
41,male,176.7,71.2,22.8,light,gain,2,2638
26,male,183.9,74.0,21.88,moderate,lose,4,2426
50,female,158.3,66.0,26.34,moderate,build_muscle,5,2347
27,female,156.4,54.8,22.4,light,maintain,1,1688
55,female,169.0,52.3,18.31,light,gain,2,2048
19,female,155.9,75.1,30.9,very_active,maintain,7,3071
34,female,155.9,81.8,33.66,moderate,maintain,5,2428
55,male,166.3,77.9,28.17,moderate,gain,4,2922
54,male,185.7,81.9,23.75,sedentary,lose,0,1602
62,female,165.4,75.4,27.56,moderate,maintain,5,2208
53,male,163.6,67.3,25.14,light,lose,1,1605
52,female,159.4,71.6,28.18,moderate,gain,5,2536
30,female,157.8,71.6,28.75,light,build_muscle,2,2225
63,female,165.9,79.6,28.92,light,lose,3,1518
43,female,166.5,74.4,26.84,active,lose,5,2076
40,male,186.4,67.3,19.37,moderate,lose,5,2266
26,female,171.9,77.0,26.06,sedentary,lose,0,1450
21,male,181.8,82.9,25.08,light,gain,1,2994
44,male,176.3,60.6,19.5,light,gain,2,2414
36,female,153.7,43.9,18.58,sedentary,maintain,0,1289
20,male,173.4,89.1,29.63,light,build_muscle,2,2904
18,male,172.7,92.9,31.15,active,lose,5,3087
26,female,162.4,70.3,26.66,sedentary,lose,0,1231
59,female,162.8,70.1,26.45,moderate,gain,5,2471
45,female,158.9,58.3,23.09,moderate,lose,3,1498
38,female,163.8,62.5,23.29,light,maintain,2,1883
34,male,174.1,64.6,21.31,sedentary,lose,1,1424
43,male,168.9,48.9,17.14,active,gain,6,2920
41,female,173.5,57.2,19.0,sedentary,lose,1,1200
62,female,155.5,59.2,24.48,light,gain,1,1892
51,male,164.0,56.8,21.12,sedentary,maintain,0,1630
54,male,171.3,74.2,25.29,active,maintain,6,2892
50,male,186.2,71.9,20.74,sedentary,maintain,0,1969
61,female,166.9,46.5,16.69,light,build_muscle,3,1791
40,female,165.7,58.8,21.42,sedentary,build_muscle,1,1759
36,male,164.5,88.1,32.56,moderate,build_muscle,5,3146
46,female,161.5,79.4,30.44,light,gain,3,2341
59,male,178.6,71.0,22.26,very_active,lose,5,2640
66,male,170.4,86.8,29.89,moderate,maintain,5,2672
32,female,163.1,73.1,27.48,light,build_muscle,3,2321
57,female,161.2,65.3,25.13,sedentary,lose,0,1200
46,male,165.8,64.3,23.39,sedentary,gain,1,2090
26,male,179.7,65.3,20.22,active,gain,5,3372
33,female,161.8,68.8,26.28,moderate,lose,4,1812
58,male,186.1,68.8,19.87,sedentary,lose,1,1424
62,female,159.6,66.1,25.95,light,gain,2,2054
47,male,181.7,90.4,27.38,very_active,maintain,5,3590
33,female,162.8,72.8,27.47,sedentary,maintain,1,1785
21,male,183.1,73.7,21.98,moderate,build_muscle,3,3168
48,male,180.5,103.4,31.74,light,build_muscle,1,3017
65,male,168.1,90.8,32.13,sedentary,maintain,0,1966
33,female,151.5,56.9,24.79,light,maintain,2,1694
47,female,169.2,88.3,30.84,light,build_muscle,1,2466
38,female,155.3,70.3,29.15,sedentary,lose,1,1200
36,female,160.0,68.7,26.84,light,build_muscle,2,2196
34,female,163.7,50.3,18.77,moderate,gain,4,2373
26,male,188.4,73.2,20.62,active,maintain,6,3248
51,male,191.1,81.3,22.26,active,gain,4,3464
22,male,184.0,75.5,22.3,light,lose,3,2125
60,female,162.2,63.1,23.98,moderate,lose,5,1552
19,female,154.5,46.0,19.27,light,build_muscle,1,1892
24,male,170.1,74.5,25.75,moderate,lose,4,2311
43,female,170.0,55.1,19.07,moderate,lose,3,1580
23,male,169.6,83.1,28.89,light,maintain,3,2573
59,female,170.3,66.0,22.76,active,lose,6,1904
32,male,179.9,101.4,31.33,active,maintain,4,3609
52,female,158.1,60.4,24.16,active,lose,4,1707
66,male,182.4,54.2,16.29,active,lose,6,2105
61,female,176.3,70.9,22.81,moderate,lose,5,1791
50,male,175.8,64.0,20.71,sedentary,lose,0,1310
67,female,173.1,55.8,18.62,moderate,maintain,3,1922
53,female,169.9,58.8,20.37,moderate,gain,3,2356
63,male,169.4,85.2,29.69,light,gain,1,2598
38,female,161.0,66.7,25.73,active,maintain,5,2468
46,female,164.8,50.7,18.67,sedentary,lose,0,1200
42,female,170.2,63.9,22.06,moderate,gain,5,2669
61,male,163.6,70.8,26.45,light,maintain,1,2015
45,male,174.9,86.8,28.38,moderate,lose,3,2346
47,male,166.8,84.7,30.44,active,lose,6,2641
39,female,156.1,67.3,27.62,active,gain,6,2810
48,male,181.3,62.8,19.11,very_active,lose,7,2778
